case_id,text,outcome
107,反映的小区停车难问题，物业已新增部分停车位，情况有所缓解。,1
108,小区内的树木病虫害严重，影响树木生长和小区环境。,0
109,希望社区能开设免费的电脑维修服务，帮助居民解决电脑问题。,0
110,社区组织的文明养犬宣传活动，提高了居民的文明养犬意识。,1
111,反映的小区垃圾中转站异味问题，物业已加强清洁和消杀工作。,1
112,小区内的楼道灯损坏后长期未维修，晚上出行很不方便。,0
113,建议政府加强对小区周边餐饮油烟的治理，改善居民生活环境。,0
114,我愿意参与社区的环境整治志愿活动，清理小区内的小广告和垃圾。,1
115,反映的小区噪音扰民问题，社区工作人员多次上门劝导，情况有所改善。,1
116,小区内的健身场地被长期占用，其他居民无法正常使用。,0
117,希望社区能定期开展免费的义诊活动，为居民提供健康检查。,0
118,社区组织的反诈宣讲会，让居民学习了很多防范诈骗的技巧。,1
119,反映的小区下水道堵塞问题，物业当天就安排了疏通处理好了。,1
120,小区内的快递柜经常满柜，居民取件很不方便。,0
121,建议在小区增设便民服务中心，为居民提供一站式服务。,0
122,我愿意参与社区的治安巡逻志愿工作，协助维护小区的安全秩序。,1
123,反映的小区停车乱收费问题，物价部门已上门调查并规范了收费标准。,1
124,小区内的树木树枝影响居民采光，多次反映仍未修剪。,0
125,希望社区能增设儿童托管服务，解决双职工家庭的带娃难题。,0
126,社区组织的邻里互助活动，增进了居民之间的感情和信任。,1
127,反映的小区电梯停运问题，物业很快就联系了维修人员处理好了。,1
128,小区周边缺少大型超市，居民购物很不方便。,0
129,建议政府优化老旧小区的排水系统，解决雨天积水问题。,0
130,我愿意参与社区的图书漂流活动，捐赠闲置书籍供居民阅读交流。,1
131,反映的小区垃圾清运不及时问题，环卫部门已调整了清运时间和频次。,1
132,小区内的消防通道被私家车占用，存在严重的安全隐患。,0
133,希望社区能建立居民议事会，让居民参与小区事务的决策和管理。,0
134,社区组织的文明出行宣传活动，提高了居民的交通安全意识。,1
135,反映的小区噪音问题，城管部门多次上门处理，现在情况已得到控制。,1
136,小区内的健身器材数量不足，居民锻炼不方便。,0
137,建议在小区增设充电桩，方便新能源车主充电使用。,0
138,我愿意参与社区的环保宣传志愿工作，向居民普及垃圾分类知识。,1
139,反映的小区供水水压不足问题，水务部门很快就上门检修解决了。,1
140,小区内的物业工作人员服务态度差，多次沟通仍未改善。,0
141,希望社区能开设免费的英语培训班，丰富居民的业余文化生活。,0
142,社区组织的应急救护培训，让居民掌握了基本的急救技能。,1
143,反映的小区围墙破损问题，相关部门很快就安排了修缮工作。,1
144,小区周边的菜市场卫生条件差，影响居民的购物体验。,0
145,建议政府加强对小区周边工地施工的监管，控制扬尘和噪音污染。,0
146,我愿意参与社区的文明养犬劝导工作，宣传文明养犬的相关规定。,1
147,反映的小区垃圾分类执行不到位问题，社区已加强督导和宣传工作。,1
148,小区内的楼道杂物堆积，影响通行且存在安全隐患。,0
149,希望社区能定期开展消防安全检查，消除小区内的安全隐患。,0
150,社区组织的亲子环保活动，让孩子们学习了环保知识，也增进了亲子感情。,1
151,反映的小区电梯年检过期问题，市场监管部门已责令物业限期整改。,1
152,小区内的宠物粪便无人清理，影响小区的环境卫生。,0
153,建议在小区增设共享雨伞点，方便居民雨天出行使用。,0
154,我愿意参与社区的消防宣传志愿工作，向居民普及消防安全常识。,1
155,反映的小区供水管道破裂问题，水务部门很快就上门维修好了。,1
156,小区内的路灯损坏严重，晚上小区漆黑一片，居民出行不安全。,0
157,希望社区能建立宠物管理规定，规范居民的养犬行为。,0
158,社区组织的重阳节慰问活动，让社区的老人们感受到了温暖和关怀。,1
159,反映的小区物业不作为问题，街道办已介入调查并督促物业整改。,1
160,小区周边的公交线路班次不足，居民出行很不方便。,0
161,建议在小区增设快递代收点，解决快递投递难的问题。,0
162,我愿意参与社区的疫情防控志愿工作，协助体温检测和信息登记。,1
163,反映的小区停车难问题，物业已新增部分停车位，情况有所缓解。,1
164,小区内的树木病虫害严重，影响树木的生长和小区的环境美观。,0
165,希望社区能开设免费的电脑基础培训班，帮助老人学习使用智能手机。,0
166,社区组织的垃圾分类知识竞赛，让居民学习了很多垃圾分类的技巧和知识。,1
167,反映的小区噪音扰民问题，社区工作人员多次上门协调解决，情况已好转。,1
168,小区内的健身场地被广场舞长期占用，其他居民无法正常使用。,0
169,建议政府优化老旧小区的供暖系统，解决冬季供暖温度不足的问题。,0
170,我愿意参与社区的文明交通劝导志愿工作，维护小区周边的交通秩序。,1
171,反映的小区供水水质问题，卫生部门已上门检测并出具了合格报告。,1
172,小区内的监控盲区较多，居民的财产安全无法得到有效保障。,0
173,希望社区能定期开展法律知识讲座，为居民普及相关的法律常识。,0
174,社区组织的植树节活动，让居民参与到小区的绿化建设中，改善了小区环境。,1
175,反映的小区电梯故障问题，物业很快就联系了专业的维修人员处理好了。,1
176,小区周边缺少银行网点，居民办理金融业务很不方便。,0
177,建议在小区增设共享电动车停放点，方便居民短途出行使用。,0
178,我愿意参与社区的环境整治志愿活动，清理小区内的垃圾和乱贴的小广告。,1
179,反映的小区垃圾中转站异味问题，物业已加强了清洁和消杀工作，异味有所减轻。,1
180,小区内的楼道灯损坏后长期未维修，晚上居民出行很不方便。,0
181,希望社区能增设便民理发点，为小区内的老人提供免费或低价的理发服务。,0
182,社区组织的文明养犬宣传活动，提高了居民的文明养犬意识，小区环境也改善了。,1
183,反映的小区噪音问题，公安部门多次上门处理，现在情况已得到了有效控制。,1
184,小区内的消防通道被私家车占用，存在严重的消防安全隐患。,0
185,建议社区建立居民意见反馈平台，方便居民反映问题和提出建议。,0
186,我愿意参与社区的治安巡逻志愿工作，协助维护小区的安全和秩序。,1
187,反映的小区停车乱收费问题，物价部门已上门调查并规范了收费标准，现在收费透明了。,1
188,小区内的树木树枝影响居民的采光，多次向物业反映仍未得到修剪处理。,0
189,希望社区能开设免费的书法绘画培训班，丰富居民的业余文化生活。,0
190,社区组织的邻里互助活动，增进了居民之间的感情，营造了和谐的社区氛围。,1
191,反映的小区电梯停运问题，物业当天就联系了维修人员处理好了，居民出行恢复正常。,1
192,小区周边缺少大型的购物超市，居民购买生活用品很不方便。,0
193,建议在小区增设便民服务中心，为居民提供一站式的生活服务。,0
194,我愿意参与社区的图书漂流活动，捐赠自己闲置的书籍，供其他居民阅读交流。,1
195,反映的小区垃圾清运不及时问题，环卫部门已调整了清运的时间和频次，现在小区干净多了。,1
196,小区内的健身器材损坏后长期未维修，居民无法正常使用，影响了日常锻炼。,0
197,希望社区能定期开展免费的义诊活动，为居民提供健康检查和咨询服务。,0
198,社区组织的反诈宣讲会，让居民学习了很多防范诈骗的技巧，提高了防骗意识。,1
199,反映的小区下水道堵塞问题，物业很快就安排了疏通处理，现在下水道通畅了。,1
200,小区内的快递柜经常满柜，居民取件很不方便，希望能增加快递柜的数量。,0
