,case_id,text,outcome,dissatisfaction,policy_demand,coproduction_request
22,23,投诉的广场舞噪音问题得到了妥善解决，音量已调低至合理范围。,1,0.0856,0.2557,0.1435
23,24,快递驿站设在小区出入口，高峰时段严重堵塞消防通道。,0,0.0042,-0.0704,-0.0024
24,25,建议社区建立独居老人定期探访机制，保障老人安全。,0,0.1068,0.2771,0.2452
25,26,我愿意参与社区的文明劝导志愿队，维护小区公共秩序。,1,0.2293,0.3959,0.5456
26,27,申请办理居住证的流程复杂，工作人员耐心给了详细指引。,1,0.2828,0.2943,0.2986
27,28,小区围墙破损未及时修缮，存在安全隐患，已多次反映。,0,0.1272,0.0924,-0.0833
28,29,希望政府能增加社区医疗点的医护人员，缓解看病难问题。,0,0.2308,0.3914,0.3831
29,30,社区组织的消防演练让居民掌握了逃生技巧，非常实用。,1,0.0465,0.0116,0.1985
30,31,反映的下水道堵塞问题，物业当天就安排了疏通处理。,1,0.0853,0.2461,0.0774
31,32,小区楼下工地夜间施工噪音扰民，严重影响居民休息。,0,0.1896,0.1469,0.0384
32,33,建议在小区增设无障碍通道，方便行动不便的居民出行。,0,0.1298,0.3,0.282
33,34,我愿意参与社区的疫情防控志愿工作，协助体温检测和登记。,1,0.2031,0.1921,0.3524
34,35,申请的低保补助已按时发放，社区工作人员服务很周到。,1,0.1288,0.2133,0.4165
35,36,小区监控多处损坏，发生物品丢失后无法调阅录像。,0,0.0291,0.0733,-0.0463
36,37,希望社区能定期开展消防安全检查，消除楼道安全隐患。,0,0.0493,0.1835,0.2537
37,38,社区组织的垃圾分类督导活动，让小区环境变得干净整洁。,1,0.0279,0.2577,0.2742
38,39,反映的电梯停运问题，物业当天就联系了维修人员处理。,1,0.1041,0.1256,-0.0016
39,40,小区周边缺少公立幼儿园，孩子入园难问题突出。,0,0.1719,0.1532,0.0496
40,41,建议政府优化公交线路，方便居民前往市区和地铁站。,0,0.0776,0.3966,0.3512
41,42,我愿意参与社区的图书漂流活动，捐赠闲置书籍供大家阅读。,1,0.0896,0.0987,0.2223
42,43,反映的小区垃圾中转站异味问题，环保部门已上门检测整改。,1,0.1029,0.2989,0.1373
43,44,小区楼道灯长期不亮，晚上出行很不安全，已多次反映。,0,0.1494,0.0855,0.0165
44,45,希望社区能开设免费的电脑基础培训班，帮助老人学习使用智能手机。,0,0.0607,0.0739,0.1691
45,46,社区组织的邻里节活动增进了居民感情，氛围很温馨。,1,0.2341,0.0973,0.2823
46,47,投诉的小区内私搭乱建问题，城管部门已上门责令拆除。,1,0.2284,0.2469,0.1008
47,48,小区停车位被外来车辆长期占用，业主停车难问题严重。,0,0.1883,0.1245,-0.0249
48,49,建议在小区增设共享雨伞点，方便居民雨天出行。,0,0.0524,0.1924,0.1996
49,50,我愿意参与社区的文明养犬劝导工作，宣传文明养犬知识。,1,0.0959,0.1564,0.2625
50,51,反映的自来水水压不足问题，水务部门很快就上门检修解决了。,1,0.011,0.2255,0.1489
51,52,小区物业收费不透明，公示的账目不清，业主意见很大。,0,0.2387,0.169,0.0158
52,53,希望政府能加强对小区周边餐饮油烟的治理，改善空气质量。,0,0.113,0.3994,0.3569
53,54,社区组织的应急救护培训让居民掌握了急救技能，非常实用。,1,0.105,0.0874,0.2478
54,55,反映的小区围墙倒塌问题，相关部门很快就安排了修缮工作。,1,0.047,0.2158,0.1146
55,56,小区周边缺少菜市场，居民买菜不方便，希望能增设便民市场。,0,0.1623,0.1662,0.0651
56,57,建议社区建立居民意见反馈平台，方便大家反映问题和提建议。,0,0.3782,0.4202,0.3161
57,58,我愿意参与社区的环境整治志愿活动，清理小区内的垃圾和小广告。,1,0.1983,0.3036,0.4214
58,59,反映的小区噪音问题，城管部门多次上门劝导，现在情况有所改善。,1,0.1484,0.3562,0.2144
59,60,小区内的健身场地被广场舞长期占用，其他居民无法使用。,0,0.0711,0.038,-0.0576
60,61,希望社区能定期开展免费的健康体检活动，关注居民健康。,0,0.0981,0.1875,0.2773
61,62,社区组织的反诈宣传活动形式新颖，让居民提高了防范意识。,1,0.2981,0.2723,0.2977
62,63,反映的小区下水道反味问题，物业当天就安排了疏通处理。,1,0.1074,0.2356,0.0943
63,64,小区快递柜数量不足，经常出现快递无法投递的情况。,0,0.1477,0.0358,0.0326
64,65,建议政府优化老旧小区的供水管道，解决水压不足的问题。,0,0.0753,0.3681,0.2941
65,66,我愿意参与社区的治安巡逻志愿工作，协助维护小区安全。,1,0.1949,0.2615,0.4514
66,67,反映的小区停车乱收费问题，物价部门已上门调查并规范收费标准。,1,0.0584,0.2393,0.1171
67,68,小区内的树木修剪不及时，树枝影响居民采光和出行。,0,0.0478,0.1475,0.0159
68,69,希望社区能增设儿童游乐设施，为孩子们提供安全的玩耍场所。,0,0.0049,0.1683,0.1746
69,70,社区组织的文明出行宣传活动，提高了居民的交通安全意识。,1,0.2279,0.2899,0.3147
70,71,反映的小区垃圾清运不及时问题，环卫部门已调整清运时间。,1,0.1194,0.3585,0.1103
71,72,小区周边的道路坑洼不平，雨天积水严重，影响居民出行。,0,0.1771,0.1228,0.0385
72,73,建议在小区增设充电桩，方便新能源车主充电。,0,0.027,0.2094,0.1318
73,74,我愿意参与社区的图书整理志愿工作，协助维护社区图书馆秩序。,1,0.0741,0.1738,0.3155
74,75,反映的小区电梯年检过期问题，市场监管部门已责令物业整改。,1,0.0881,0.3204,0.0422
75,76,小区内的宠物粪便无人清理，影响小区环境和居民健康。,0,0.0806,0.1513,-0.0122
76,77,希望社区能开设免费的书法绘画培训班，丰富居民的文化生活。,0,0.0974,0.0389,0.193
77,78,社区组织的垃圾分类知识竞赛，让居民学习了很多分类技巧。,1,0.1084,0.1704,0.2111
78,79,反映的小区噪音扰民问题，社区工作人员多次上门协调解决。,1,0.167,0.2591,0.3197
79,80,小区内的消防通道被私家车占用，存在严重的安全隐患。,0,0.1144,0.1205,0.0444
80,81,建议政府加强对小区周边工地施工的监管，控制施工噪音和扬尘。,0,0.081,0.4308,0.3304
81,82,我愿意参与社区的环保宣传志愿活动，向居民普及环保知识。,1,0.1932,0.3291,0.3978
82,83,反映的小区供水管道破裂问题，水务部门很快就上门维修好了。,1,-0.0297,0.1472,0.0963
83,84,小区内的路灯损坏严重，晚上小区漆黑一片，居民出行很不安全。,0,0.1523,0.0694,-0.0191
84,85,希望社区能建立宠物粪便收集点，引导居民文明养犬。,0,0.0498,0.1256,0.1586
85,86,社区组织的亲子阅读活动，增进了亲子感情，也培养了孩子的阅读习惯。,1,0.1852,0.076,0.1612
86,87,反映的小区物业不作为问题，街道办已介入调查并督促整改。,1,0.1361,0.3535,0.2605
87,88,小区周边缺少银行网点，居民办理业务很不方便。,0,0.1939,0.087,0.0764
88,89,建议在小区增设共享电动车停放点，方便居民短途出行。,0,0.1306,0.2898,0.1956
89,90,我愿意参与社区的消防宣传志愿工作，向居民普及消防安全知识。,1,0.2065,0.2354,0.393
90,91,反映的小区垃圾分类执行不到位问题，社区已加强督导和宣传。,1,0.1787,0.3517,0.297
91,92,小区内的健身器材损坏后长期未维修，居民无法正常使用。,0,0.0736,0.068,-0.1424
92,93,希望政府能优化老旧小区的供暖管道，解决冬季供暖不足的问题。,0,0.0772,0.2883,0.2655
93,94,社区组织的重阳节慰问活动，让社区老人感受到了温暖。,1,0.2455,0.1606,0.232
94,95,反映的小区噪音问题，公安部门多次上门处理，现在情况已好转。,1,0.1147,0.3001,0.2112
95,96,小区内的楼道卫生无人打扫，杂物堆积，环境脏乱差。,0,0.0758,0.1144,0.0528
96,97,建议社区增设便民理发点，为老人提供免费或低价理发服务。,0,0.0714,0.2095,0.0719
97,98,我愿意参与社区的文明交通劝导志愿工作，维护小区周边交通秩序。,1,0.2126,0.3435,0.4647
98,99,反映的小区供水水质问题，卫生部门已上门检测并出具了报告。,1,0.1288,0.2291,0.186
99,100,小区内的监控盲区较多，居民的财产安全无法得到保障。,0,0.0929,0.1801,0.0514
100,101,希望社区能定期开展法律知识讲座，为居民普及法律常识。,0,0.1264,0.2387,0.3364
101,102,社区组织的植树节活动，让居民参与小区绿化建设，改善环境。,1,0.0666,0.2744,0.2923
102,103,反映的小区电梯故障问题，物业很快就联系了维修人员处理好了。,1,0.0542,0.1039,0.0344
103,104,小区周边的公交线路班次太少，居民出行不方便。,0,0.1753,0.1664,0.0129
104,105,建议在小区增设快递代收点，解决快递投递难题。,0,0.1347,0.2784,0.1714
105,106,我愿意参与社区的疫情防控宣传志愿工作，向居民普及防疫知识。,1,0.2576,0.2932,0.4186
106,107,反映的小区停车难问题，物业已新增部分停车位，情况有所缓解。,1,0.1809,0.2901,0.0636
107,108,小区内的树木病虫害严重，影响树木生长和小区环境。,0,0.0512,0.1006,-0.0307
108,109,希望社区能开设免费的电脑维修服务，帮助居民解决电脑问题。,0,0.115,0.205,0.3234
109,110,社区组织的文明养犬宣传活动，提高了居民的文明养犬意识。,1,0.1181,0.1749,0.1884
110,111,反映的小区垃圾中转站异味问题，物业已加强清洁和消杀工作。,1,0.0915,0.242,0.1659
111,112,小区内的楼道灯损坏后长期未维修，晚上出行很不方便。,0,0.1363,0.0949,-0.0338
112,113,建议政府加强对小区周边餐饮油烟的治理，改善居民生活环境。,0,0.1528,0.4804,0.3579
113,114,我愿意参与社区的环境整治志愿活动，清理小区内的小广告和垃圾。,1,0.196,0.3002,0.4174
114,115,反映的小区噪音扰民问题，社区工作人员多次上门劝导，情况有所改善。,1,0.2437,0.3905,0.2808
115,116,小区内的健身场地被长期占用，其他居民无法正常使用。,0,0.0909,0.0618,-0.0932
116,117,希望社区能定期开展免费的义诊活动，为居民提供健康检查。,0,0.1812,0.2251,0.3456
117,118,社区组织的反诈宣讲会，让居民学习了很多防范诈骗的技巧。,1,0.2068,0.1406,0.2707
118,119,反映的小区下水道堵塞问题，物业当天就安排了疏通处理好了。,1,0.0738,0.2572,0.1222
119,120,小区内的快递柜经常满柜，居民取件很不方便。,0,0.2196,0.0626,0.0566
120,121,建议在小区增设便民服务中心，为居民提供一站式服务。,0,0.1524,0.3659,0.3405
121,122,我愿意参与社区的治安巡逻志愿工作，协助维护小区的安全秩序。,1,0.1879,0.2833,0.4554
122,123,反映的小区停车乱收费问题，物价部门已上门调查并规范了收费标准。,1,0.0548,0.2429,0.1123
123,124,小区内的树木树枝影响居民采光，多次反映仍未修剪。,0,0.0409,0.0959,0.0372
124,125,希望社区能增设儿童托管服务，解决双职工家庭的带娃难题。,0,0.166,0.2708,0.2867
125,126,社区组织的邻里互助活动，增进了居民之间的感情和信任。,1,0.3021,0.1736,0.4265
126,127,反映的小区电梯停运问题，物业很快就联系了维修人员处理好了。,1,0.0383,0.1161,0.0484
127,128,小区周边缺少大型超市，居民购物很不方便。,0,0.1558,0.0321,-0.0141
128,129,建议政府优化老旧小区的排水系统，解决雨天积水问题。,0,0.0307,0.3729,0.2992
129,130,我愿意参与社区的图书漂流活动，捐赠闲置书籍供居民阅读交流。,1,0.1354,0.1391,0.284
130,131,反映的小区垃圾清运不及时问题，环卫部门已调整了清运时间和频次。,1,0.1148,0.3536,0.097
131,132,小区内的消防通道被私家车占用，存在严重的安全隐患。,0,0.1144,0.1205,0.0444
132,133,希望社区能建立居民议事会，让居民参与小区事务的决策和管理。,0,0.2293,0.3665,0.4243
133,134,社区组织的文明出行宣传活动，提高了居民的交通安全意识。,1,0.2279,0.2899,0.3147
134,135,反映的小区噪音问题，城管部门多次上门处理，现在情况已得到控制。,1,0.0971,0.2543,0.2027
135,136,小区内的健身器材数量不足，居民锻炼不方便。,0,0.1929,0.1165,-0.0639
136,137,建议在小区增设充电桩，方便新能源车主充电使用。,0,0.0243,0.2071,0.1313
137,138,我愿意参与社区的环保宣传志愿工作，向居民普及垃圾分类知识。,1,0.2059,0.3476,0.4149
138,139,反映的小区供水水压不足问题，水务部门很快就上门检修解决了。,1,0.0231,0.233,0.1772
139,140,小区内的物业工作人员服务态度差，多次沟通仍未改善。,0,0.3692,0.2048,0.1198
140,141,希望社区能开设免费的英语培训班，丰富居民的业余文化生活。,0,0.0689,0.0881,0.2229
141,142,社区组织的应急救护培训，让居民掌握了基本的急救技能。,1,0.1489,0.1124,0.2213
142,143,反映的小区围墙破损问题，相关部门很快就安排了修缮工作。,1,0.0469,0.2111,0.0846
143,144,小区周边的菜市场卫生条件差，影响居民的购物体验。,0,0.2389,0.1876,0.033
144,145,建议政府加强对小区周边工地施工的监管，控制扬尘和噪音污染。,0,0.0693,0.4354,0.3155
145,146,我愿意参与社区的文明养犬劝导工作，宣传文明养犬的相关规定。,1,0.1105,0.2329,0.295
146,147,反映的小区垃圾分类执行不到位问题，社区已加强督导和宣传工作。,1,0.1797,0.3369,0.3242
147,148,小区内的楼道杂物堆积，影响通行且存在安全隐患。,0,0.1548,0.1703,0.0905
148,149,希望社区能定期开展消防安全检查，消除小区内的安全隐患。,0,0.0359,0.1782,0.2403
149,150,社区组织的亲子环保活动，让孩子们学习了环保知识，也增进了亲子感情。,1,0.1875,0.1848,0.2245
150,151,反映的小区电梯年检过期问题，市场监管部门已责令物业限期整改。,1,0.0733,0.3116,0.0291
151,152,小区内的宠物粪便无人清理，影响小区的环境卫生。,0,0.0367,0.1354,-0.0353
152,153,建议在小区增设共享雨伞点，方便居民雨天出行使用。,0,0.0495,0.1945,0.1963
153,154,我愿意参与社区的消防宣传志愿工作，向居民普及消防安全常识。,1,0.208,0.2574,0.4047
154,155,反映的小区供水管道破裂问题，水务部门很快就上门维修好了。,1,-0.0297,0.1472,0.0963
155,156,小区内的路灯损坏严重，晚上小区漆黑一片，居民出行不安全。,0,0.1468,0.0732,-0.0127
156,157,希望社区能建立宠物管理规定，规范居民的养犬行为。,0,0.0591,0.2622,0.1992
157,158,社区组织的重阳节慰问活动，让社区的老人们感受到了温暖和关怀。,1,0.2456,0.1671,0.2288
158,159,反映的小区物业不作为问题，街道办已介入调查并督促物业整改。,1,0.1315,0.3557,0.2444
159,160,小区周边的公交线路班次不足，居民出行很不方便。,0,0.2198,0.1749,0.0129
160,161,建议在小区增设快递代收点，解决快递投递难的问题。,0,0.1455,0.2821,0.165
161,162,我愿意参与社区的疫情防控志愿工作，协助体温检测和信息登记。,1,0.203,0.1994,0.3462
162,163,反映的小区停车难问题，物业已新增部分停车位，情况有所缓解。,1,0.1809,0.2901,0.0636
163,164,小区内的树木病虫害严重，影响树木的生长和小区的环境美观。,0,0.0599,0.1016,-0.0118
164,165,希望社区能开设免费的电脑基础培训班，帮助老人学习使用智能手机。,0,0.0607,0.0739,0.1691
165,166,社区组织的垃圾分类知识竞赛，让居民学习了很多垃圾分类的技巧和知识。,1,0.0992,0.1603,0.1998
166,167,反映的小区噪音扰民问题，社区工作人员多次上门协调解决，情况已好转。,1,0.1594,0.3189,0.3214
167,168,小区内的健身场地被广场舞长期占用，其他居民无法正常使用。,0,0.0964,0.047,-0.0463
168,169,建议政府优化老旧小区的供暖系统，解决冬季供暖温度不足的问题。,0,0.0916,0.3368,0.2388
169,170,我愿意参与社区的文明交通劝导志愿工作，维护小区周边的交通秩序。,1,0.2078,0.3454,0.4577
170,171,反映的小区供水水质问题，卫生部门已上门检测并出具了合格报告。,1,0.1218,0.2285,0.218
171,172,小区内的监控盲区较多，居民的财产安全无法得到有效保障。,0,0.1162,0.1863,0.0553
172,173,希望社区能定期开展法律知识讲座，为居民普及相关的法律常识。,0,0.1326,0.2366,0.3328
173,174,社区组织的植树节活动，让居民参与到小区的绿化建设中，改善了小区环境。,1,0.0424,0.2695,0.2827
174,175,反映的小区电梯故障问题，物业很快就联系了专业的维修人员处理好了。,1,0.066,0.1107,0.0562
175,176,小区周边缺少银行网点，居民办理金融业务很不方便。,0,0.1626,0.062,0.0527
176,177,建议在小区增设共享电动车停放点，方便居民短途出行使用。,0,0.1258,0.2887,0.1915
177,178,我愿意参与社区的环境整治志愿活动，清理小区内的垃圾和乱贴的小广告。,1,0.2141,0.3184,0.412
178,179,反映的小区垃圾中转站异味问题，物业已加强了清洁和消杀工作，异味有所减轻。,1,0.0985,0.2228,0.1337
179,180,小区内的楼道灯损坏后长期未维修，晚上居民出行很不方便。,0,0.1639,0.1189,0.0088
180,181,希望社区能增设便民理发点，为小区内的老人提供免费或低价的理发服务。,0,0.0738,0.1808,0.0965
181,182,社区组织的文明养犬宣传活动，提高了居民的文明养犬意识，小区环境也改善了。,1,0.1064,0.2252,0.1985
182,183,反映的小区噪音问题，公安部门多次上门处理，现在情况已得到了有效控制。,1,0.0861,0.2527,0.2514
183,184,小区内的消防通道被私家车占用，存在严重的消防安全隐患。,0,0.1109,0.1064,0.045
184,185,建议社区建立居民意见反馈平台，方便居民反映问题和提出建议。,0,0.3887,0.4443,0.3517
185,186,我愿意参与社区的治安巡逻志愿工作，协助维护小区的安全和秩序。,1,0.1947,0.2844,0.4582
186,187,反映的小区停车乱收费问题，物价部门已上门调查并规范了收费标准，现在收费透明了。,1,0.0306,0.2229,0.1317
187,188,小区内的树木树枝影响居民的采光，多次向物业反映仍未得到修剪处理。,0,0.062,0.163,0.0647
188,189,希望社区能开设免费的书法绘画培训班，丰富居民的业余文化生活。,0,0.0925,0.0344,0.1656
189,190,社区组织的邻里互助活动，增进了居民之间的感情，营造了和谐的社区氛围。,1,0.2635,0.1596,0.3934
190,191,反映的小区电梯停运问题，物业当天就联系了维修人员处理好了，居民出行恢复正常。,1,0.0869,0.1662,0.0804
191,192,小区周边缺少大型的购物超市，居民购买生活用品很不方便。,0,0.1588,0.056,-0.0225
192,193,建议在小区增设便民服务中心，为居民提供一站式的生活服务。,0,0.1617,0.3841,0.3232
193,194,我愿意参与社区的图书漂流活动，捐赠自己闲置的书籍，供其他居民阅读交流。,1,0.1604,0.1525,0.3011
194,195,反映的小区垃圾清运不及时问题，环卫部门已调整了清运的时间和频次，现在小区干净多了。,1,0.0656,0.3342,0.1672
195,196,小区内的健身器材损坏后长期未维修，居民无法正常使用，影响了日常锻炼。,0,0.1241,0.1137,-0.1354
196,197,希望社区能定期开展免费的义诊活动，为居民提供健康检查和咨询服务。,0,0.1971,0.22,0.3626
197,198,社区组织的反诈宣讲会，让居民学习了很多防范诈骗的技巧，提高了防骗意识。,1,0.215,0.1552,0.2785
198,199,反映的小区下水道堵塞问题，物业很快就安排了疏通处理，现在下水道通畅了。,1,-0.0009,0.1871,0.1712
199,200,小区内的快递柜经常满柜，居民取件很不方便，希望能增加快递柜的数量。,0,0.1943,0.0996,0.0652
